guest_id,name,first_name,last_name,email,phone_number,created_at,approval_status,checked_in_at,utm_source,qr_code_url,amount,amount_tax,amount_discount,currency,coupon_code,eth_address,solana_address,survey_response_rating,survey_response_feedback,ticket_type_id,ticket_name,What is your Linkedin profile?,How did you hear about this event?
gst-3kPdLxNq8vRwYh2,John Smith,john,smith,john.smith@example.com,,2026-07-28T14:02:18.143Z,approved,,,https://luma.com/check-in/evt-r2TiSZ9IsaLhZK2?pk=Pk8gHs9J2LmQvTy,$0.00,$0.00,$0.00,usd,,,,,,ttype-zCnAUUr3PoU4KTy,Standard,https://www.linkedin.com/in/johnsmith/,google search
gst-8vMxQpLe7RtAa91,Emily Johnson,emily,johnson,emily.johnson@example.com,,2026-07-28T14:08:51.732Z,approved,,,https://luma.com/check-in/evt-r2TiSZ9IsaLhZK2?pk=Pt4fKs8Aq2NcVrP,$0.00,$0.00,$0.00,usd,,,,,,ttype-zCnAUUr3PoU4KTy,Standard,https://www.linkedin.com/in/emilyjohnson/,linkedin
gst-Yu8LpNw4KvXqRm5,Michael Brown,michael,brown,michael.brown@example.com,,2026-07-28T14:15:20.481Z,approved,,,https://luma.com/check-in/evt-r2TiSZ9IsaLhZK2?pk=Pw8jTm5Fq9LsDaX,$0.00,$0.00,$0.00,usd,,,,,,ttype-zCnAUUr3PoU4KTy,Standard,https://www.linkedin.com/in/michaelbrown/,cursor community
gst-Qr6NxPz9UwKeT21,Sophia Davis,sophia,davis,sophia.davis@example.com,,2026-07-28T14:22:33.118Z,approved,,,https://luma.com/check-in/evt-r2TiSZ9IsaLhZK2?pk=Pz5hJw2Rb6YuMtQ,$0.00,$0.00,$0.00,usd,,,,,,ttype-zCnAUUr3PoU4KTy,Standard,https://www.linkedin.com/in/sophiadavis/,twitter
gst-Hk2YvLm7QaPxR43,David Wilson,david,wilson,david.wilson@example.com,,2026-07-28T14:30:05.992Z,approved,,,https://luma.com/check-in/evt-r2TiSZ9IsaLhZK2?pk=Pq2dLs7Vm8YkTrH,$0.00,$0.00,$0.00,usd,,,,,,ttype-zCnAUUr3PoU4KTy,Standard,https://www.linkedin.com/in/davidwilson/,friend referral
gst-Mp4TaRw9XyKdV62,Olivia Martinez,olivia,martinez,olivia.martinez@example.com,,2026-07-28T14:38:47.615Z,approved,,,https://luma.com/check-in/evt-r2TiSZ9IsaLhZK2?pk=Pr4nQx8Jh2WuLsM,$0.00,$0.00,$0.00,usd,,,,,,ttype-zCnAUUr3PoU4KTy,Standard,https://www.linkedin.com/in/oliviamartinez/,meetup
gst-Wx7BcNz3LpQeH84,William Anderson,william,anderson,william.anderson@example.com,,2026-07-28T14:46:29.406Z,approved,,,https://luma.com/check-in/evt-r2TiSZ9IsaLhZK2?pk=Px9gVr4Kd7MnQaS,$0.00,$0.00,$0.00,usd,,,,,,ttype-zCnAUUr3PoU4KTy,Standard,https://www.linkedin.com/in/williamanderson/,github
gst-Rt9JhQm6VuXeL15,Emma Thomas,emma,thomas,emma.thomas@example.com,,2026-07-28T14:55:11.254Z,approved,,,https://luma.com/check-in/evt-r2TiSZ9IsaLhZK2?pk=Ps6wTk1Lm9QvXeA,$0.00,$0.00,$0.00,usd,,,,,,ttype-zCnAUUr3PoU4KTy,Standard,https://www.linkedin.com/in/emmathomas/,youtube
gst-Zm5KyLp2RwQnT73,James Taylor,james,taylor,james.taylor@example.com,,2026-07-28T15:03:54.803Z,approved,,,https://luma.com/check-in/evt-r2TiSZ9IsaLhZK2?pk=Pu3rJx6Nc8QmTyL,$0.00,$0.00,$0.00,usd,,,,,,ttype-zCnAUUr3PoU4KTy,Standard,https://www.linkedin.com/in/jamestaylor/,discord
gst-Nq8XvPt4LmRhK96,Ava Moore,ava,moore,ava.moore@example.com,,2026-07-28T15:12:40.190Z,approved,,,https://luma.com/check-in/evt-r2TiSZ9IsaLhZK2?pk=Py7mLs2Qh5VrKnB,$0.00,$0.00,$0.00,usd,,,,,,ttype-zCnAUUr3PoU4KTy,Standard,https://www.linkedin.com/in/avamoore/,google search
